1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
716000;Straftaten im Zusammenhang mit Lebens- und Arzneimitteln (z.B. Lebensmittel- und Futtermittelgesetzbuch, ArzneimittelG, WeinG);230;0.3;2;0.9;29;18;1;182;0;0;0;196;85.2;213;177;36;54;25.4
716030;Straftaten nach dem Gentechnikgesetz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
716079;Sonstige Straftaten im Zusammenhang mit Lebensmitteln - soweit nicht unter anderen Schlüsseln zu erfassen -;8;0;0;0;0;1;0;7;0;0;0;8;100;5;5;0;2;40
716100;Straftaten nach dem Lebensmittel- und Futtermittelgesetzbuch;181;0.2;0;0;27;10;1;143;0;0;0;162;89.5;178;150;28;48;27
716300;Straftaten nach dem Weingesetz;1;0;0;0;0;0;0;1;0;0;0;1;100;1;1;0;0;0
716400;Straftaten nach dem Arzneimittelgesetz (AMG);33;0;2;6.1;1;6;0;26;0;0;0;19;57.6;24;17;7;4;16.7
716420;illegale Arzneimittel in der legalen Verteilerkette (iAMidlegV);2;0;0;0;0;0;0;2;0;0;0;1;50;2;2;0;2;100
716421;Inverkehrbringen von bedenklichen Arzneimitteln (iAMidlegV);2;0;0;0;0;0;0;2;0;0;0;1;50;2;2;0;2;100
716422;Inverkehrbringen von oder Handel treiben mit gefälschten Arzneimitteln, Wirkstoffen (iAMidlegV);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
716423;Inverkehrbringen nicht zugelassener Arzneimittel (iAMidlegV);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
716430;Arzneimittel in der illegalen Verteilerkette (AMidillegV);7;0;2;28.6;1;4;0;2;0;0;0;6;85.7;7;5;2;0;0
716431;Inverkehrbringen von bedenklichen Arzneimitteln (AMidillegV);1;0;0;0;0;1;0;0;0;0;0;1;100;1;1;0;0;0
716432;Inverkehrbringen von oder Handel treiben mit gefälschten Arzneimitteln, Wirkstoffen (AMidillegV);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
716433;Inverkehrbringen nicht zugelassener Arzneimittel, Illegaler Handel oder Abgabe von verschreibungspflichtigen Arzneimitteln §§ 96 Nr. 5, 95 (1) 4 AMG (AMidillegV);6;0;2;33.3;1;3;0;2;0;0;0;5;83.3;6;4;2;0;0
716440;Herstellen gefälschter Arzneimittel oder Wirkstoffe;1;0;0;0;0;0;0;1;0;0;0;1;100;1;1;0;0;0
716450;Illegaler Umgang mit Tierarzneimitteln;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
716460;Straftaten nach dem AMG § 95 Absatz 1 Nr. 2, 3, 5, 5a;16;0;0;0;0;0;0;16;0;0;0;4;25;4;3;1;0;0
716470;Straftaten nach dem AMG § 96 ohne die Nummern 5, 15-18a und 20b;7;0;0;0;0;2;0;5;0;0;0;7;100;10;6;4;2;20
716500;Straftaten nach dem Anti-Doping-Gesetz (AntiDopG);7;0;0;0;1;1;0;5;0;0;0;6;85.7;6;5;1;0;0
716510;Herstellen, Inverkehrbringen, Verschreiben, Anwendung bei Dritten, Handel treiben, veräußern, abgeben von Dopingmitteln;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
716520;Erwerb, Besitz, Verbringung von Dopingmitteln;7;0;0;0;1;1;0;5;0;0;0;6;85.7;6;5;1;0;0
716530;Selbstdoping (anwenden/ anwenden lassen), Erwerb und Besitz von Dopingmitteln, zur Verschaffung eines Vorteils im Wettbewerb;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
719000;sonstige Straftaten (Nebengesetze) auf dem Wirtschaftssektor (z.B. Rennwett- und LotterieG, § 23 Abs. 3 GeschGehG und UWG § 16, VersicherungsaufsichtsG, WirtschaftsstrafG, Gewerbeordnung);114;0.2;1;0.9;24;33;22;31;4;0;0;96;84.2;125;101;24;24;19.2
719010;Rennwett- und Lotteriegesetz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
719040;Gewerbeordnung;6;0;0;0;1;3;1;1;0;0;0;6;100;7;6;1;0;0
719079;Sonstige Nebengesetze auf dem Wirtschaftssektor;42;0.1;1;2.4;10;11;7;13;1;0;0;40;95.2;59;47;12;16;27.1
719200;Verletzung von Geschäftsgeheimnissen § 23 Abs. 3 GeschGehG, strafbare Werbung § 16 UWG;66;0.1;0;0;13;19;14;17;3;0;0;50;75.8;59;48;11;8;13.6
720000;Straftaten gegen sonstige strafrechtliche Nebengesetze -ohne Verkehrsdelikte-;70;0.1;1;1.4;8;18;16;27;1;0;0;62;88.6;79;61;18;36;45.6
720005;Missbräuchliches Herstellen, Vertreiben oder Ausgeben von amtlichen Kennzeichen § 22a StVG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
720009;Telekommunikation-Telemedien-Datenschutz-Gesetz;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
720012;Straftaten § 1 EU-Bestechungsgesetz (EUBestG);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
720013;Straftaten gemäß § 2 des Gesetzes zur Bekämpfung internationaler Bestechung (IntBestG);0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;100
720079;Sonstige strafrechtliche Nebengesetze;60;0.1;1;1.7;4;15;16;25;0;0;0;55;91.7;72;54;18;34;47.2
726000;Straftaten gegen das Sprengstoff-, das Waffen-, das Kriegswaffenkontrollgesetz und das Ausgangsstoffgesetz;4;0;0;0;3;1;0;0;0;0;0;4;100;4;4;0;1;25
726100;Straftaten gegen das Sprengstoffgesetz;2;0;0;0;1;1;0;0;0;0;0;2;100;2;2;0;0;0
