1;2;3;7;8;9;10;11
Schluessel;Straftat;Anzahl erfasste Faelle;Tatortverteilung bis unter 20000 Einwohner - Anteil in %;Tatortverteilung 20000 bis unter 100000 Einwohner - Anteil in %;Tatortverteilung 100000 bis unter 500000 Einwohner - Anteil in %;Tatortverteilung 500000 und mehr Einwohner - Anteil in %;Tatortverteilung unbekannt - Anteil in %
;;Einwohner am 31.12.2019;;;;;
;;in %;;;;;
115000;Straftaten aus Gruppen § 184j StGB;12;0;33.3;25;41.7;0
130000;Sexueller Missbrauch §§ 176-176e, 182, 183, 183a StGB;25,124;29.3;27.5;18.3;21.6;3.4
131000;Sexueller Missbrauch von Kindern §§ 176-176e StGB;15,520;34.1;27.6;16.5;16.7;5.1
131010;Sexueller Missbrauch von Kindern - Anbieten von Kindern gemäß §§ 176 Abs. 1 Nr 3, 176a Abs.2, 176b Abs. 2 StGB;290;32.8;22.8;16.6;16.9;11
131011;Sexueller Missbrauch von Kindern - Kinder für sex. Handlungen anbietet, Nachweis verspricht § 176 Abs. 1 Nr. 3 StGB;159;30.8;20.1;17.6;18.2;13.2
131012;Sexueller Missbrauch von Kindern - Kinder für sex. Missbrauch ohne Körperkontakt anbietet, Nachweis verspricht, zur Tat verabredet § 176a Abs. 2 StGB;97;33;28.9;16.5;16.5;5.2
131013;Sexueller Missbrauch von Kindern - Kind zum vorbereitenden Einwirken anbietet, Nachweis verspricht, zur Tat verabredet § 176b Abs. 2 StGB;34;41.2;17.6;11.8;11.8;17.6
131100;Sexueller Missbrauch von Kindern - sexuelle Handlungen an Kind/durch Kind vornehmen lässt § 176 Abs 1 Nr. 1 und 2 StGB;6,261;35.6;28.6;16.1;17.2;2.4
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176a Abs. 1 Nr. 1 StGB;1,478;26.7;30.1;18.6;23.2;1.4
131300;Sexueller Missbrauch von Kindern - Täter bestimmt Kind, sexuelle Handlungen an sich selbst vorzunehmen § 176a Abs 1 Nr. 2 StGB;835;45.1;26.8;13.9;8.9;5.3
131400;"Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt § 176a Abs. 1 Nr. 3; 176b Abs. 1 Nr. 1 und 2 StGB";3,847;34.5;24.7;16.9;13.4;10.6
131410;Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt mit dem Kind § 176a Abs. 1 Nr 3 i.V.m. Absatz 3 StGB;3,055;35.5;26;18.1;13.5;6.9
131411;Sexueller Missbrauch von Kindern - Einwirken auf Kind durch pornographischen Inhalt oder entsprechende Reden § 176a Abs. 1 Nr. 3 StGB;2,901;35.5;25.6;18.3;13.5;7
131412;Versuch des Sexuellen Missbrauchs von Kindern ohne Körperkontakt mit dem Kind (Scheinkindkonstellation) § 176a Abs. 1 nr. 3 i.V.m. Abs. 3 StGB;154;34.4;32.5;14.3;13;5.8
131420;Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;792;30.6;19.7;12.1;12.9;24.7
