1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;
Schluessel;Straftat;Gemeindeschluessel;Stadt;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasse Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufkaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an Gesamtzahl;
899500;Sachbeschädigung durch Graffiti insgesamt;9761000;Augsburg;608;205.1;0;0;0;0;300;49.3;60;49;11;7;11.7;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;5378004;Bergisch Gladbach;82;73.4;0;0;0;0;7;8.5;11;9;2;0;0;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;11000000;Berlin;8,773;238.6;31;0.4;0;0;1,343;15.3;1,167;1,077;90;256;21.9;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;5711000;Bielefeld;425;127.2;0;0;0;0;64;15.1;51;42;9;9;17.6;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;5911000;Bochum;763;209.9;1;0.1;0;0;224;29.4;60;53;7;4;6.7;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;5314000;Bonn;360;108.5;1;0.3;0;0;42;11.7;36;32;4;6;16.7;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;5512000;Bottrop;102;86.9;0;0;0;0;6;5.9;8;7;1;0;0;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;3101000;Braunschweig;654;262.8;1;0.2;0;0;115;17.6;53;49;4;5;9.4;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;4011000;Bremen;626;111.1;5;0.8;0;0;77;12.3;92;75;17;26;28.3;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;4012000;Bremerhaven;305;269.5;0;0;0;0;51;16.7;27;20;7;6;22.2;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;14511000;Chemnitz;518;213.1;0;0;0;0;39;7.5;28;24;4;1;3.6;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;12052000;Cottbus;225;228.8;1;0.4;0;0;74;32.9;38;31;7;2;5.3;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;6411000;Darmstadt;278;174.2;0;0;0;0;23;8.3;11;9;2;2;18.2;2736458
899500;Sachbeschädigung durch Graffiti insgesamt;5913000;Dortmund;873;148.8;2;0.2;0;0;123;14.1;124;110;14;11;8.9;2736458
