1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;84;0;3;3.6;2;68;4;5;5;0;0;80;95.2;18;16;2;2;11.1
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;20;0;3;15;2;4;4;5;5;0;0;16;80;18;16;2;2;11.1
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;64;0;0;0;0;64;0;0;0;0;0;64;100;1;1;0;0;0
114000;Sexuelle Belästigung § 184i StGB;55;0;0;0;15;19;6;12;3;0;0;46;83.6;43;42;1;10;23.3
115000;Straftaten aus Gruppen § 184j StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130000;Sexueller Missbrauch §§ 176-176e, 182, 183, 183a StGB;4,112;1;252;6.1;1,613;951;630;461;457;0;0;3,367;81.9;2,582;2,443;139;249;9.6
131000;Sexueller Missbrauch von Kindern §§ 176-176e StGB;4,025;1;214;5.3;1,577;930;616;454;448;0;0;3,293;81.8;2,528;2,391;137;244;9.7
131010;Sexueller Missbrauch von Kindern - Anbieten von Kindern gemäß §§ 176 Abs. 1 Nr 3, 176a Abs.2, 176b Abs. 2 StGB;154;0;29;18.8;61;29;21;15;28;0;0;113;73.4;101;92;9;4;4
131011;Sexueller Missbrauch von Kindern - Kinder für sex. Handlungen anbietet, Nachweis verspricht § 176 Abs. 1 Nr. 3 StGB;72;0;29;40.3;25;12;9;7;19;0;0;47;65.3;39;33;6;0;0
131012;Sexueller Missbrauch von Kindern - Kinder für sex. Missbrauch ohne Körperkontakt anbietet, Nachweis verspricht, zur Tat verabredet § 176a Abs. 2 StGB;61;0;0;0;28;14;9;6;4;0;0;54;88.5;51;49;2;2;3.9
131013;Sexueller Missbrauch von Kindern - Kind zum vorbereitenden Einwirken anbietet, Nachweis verspricht, zur Tat verabredet § 176b Abs. 2 StGB;21;0;0;0;8;3;3;2;5;0;0;12;57.1;11;10;1;2;18.2
