1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
516920;Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel § 263a StGB;Saarland;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
516920;Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel § 263a StGB;Sachsen;2;0;0;0;0;0;0;2;0;0;0;1;50;1;0;1;1;100
516920;Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel § 263a StGB;Sachsen-Anhalt;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
516920;Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel § 263a StGB;Schleswig-Holstein;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
516920;Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel § 263a StGB;Thüringen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
516920;Computerbetrug mittels rechtswidrig erlangter sonstiger unbarer Zahlungsmittel § 263a StGB;Bundesrepublik Deutschland;44;0.1;5;11.4;9;6;4;9;16;0;0;7;15.9;7;1;6;3;42.9
517000;Sonstiger Betrug;Baden-Württemberg;436;0.6;37;8.5;152;133;91;55;5;0;0;385;88.3;427;320;107;118;27.6
517000;Sonstiger Betrug;Bayern;1,795;2.5;537;29.9;709;272;66;218;530;0;0;1,233;68.7;920;605;315;245;26.6
517000;Sonstiger Betrug;Berlin;3,176;4.3;937;29.5;0;0;0;3,176;0;0;0;2,721;85.7;2,076;1,500;576;868;41.8
517000;Sonstiger Betrug;Brandenburg;143;0.2;12;8.4;50;73;20;0;0;0;0;137;95.8;124;76;48;17;13.7
517000;Sonstiger Betrug;Bremen;413;0.6;217;52.5;0;0;13;400;0;0;0;109;26.4;85;64;21;27;31.8
517000;Sonstiger Betrug;Hamburg;93;0.1;27;29;0;0;0;85;8;0;0;45;48.4;69;47;22;14;20.3
517000;Sonstiger Betrug;Hessen;184;0.3;10;5.4;48;31;29;69;7;0;0;171;92.9;151;99;52;27;17.9
517000;Sonstiger Betrug;Mecklenburg-Vorpommern;77;0.1;16;20.8;27;30;20;0;0;0;0;59;76.6;60;40;20;4;6.7
517000;Sonstiger Betrug;Niedersachsen;886;1.2;236;26.6;303;243;211;56;73;0;0;692;78.1;638;434;204;138;21.6
517000;Sonstiger Betrug;Nordrhein-Westfalen;1,453;2;163;11.2;538;280;371;198;66;0;0;1,105;76;633;478;155;199;31.4
517000;Sonstiger Betrug;Rheinland-Pfalz;439;0.6;11;2.5;132;20;287;0;0;0;0;428;97.5;137;85;52;6;4.4
517000;Sonstiger Betrug;Saarland;49;0.1;3;6.1;31;11;5;0;2;0;0;34;69.4;30;21;9;6;20
517000;Sonstiger Betrug;Sachsen;376;0.5;30;8;71;45;27;233;0;0;0;346;92;250;178;72;34;13.6
517000;Sonstiger Betrug;Sachsen-Anhalt;158;0.2;40;25.3;36;46;28;0;48;0;0;104;65.8;115;71;44;16;13.9
517000;Sonstiger Betrug;Schleswig-Holstein;33,853;46.3;5;0;33,791;27;34;0;1;0;0;33,851;100;90;62;28;4;4.4
517000;Sonstiger Betrug;Thüringen;164;0.2;46;28;74;43;41;0;6;0;0;141;86;125;89;36;22;17.6
517000;Sonstiger Betrug;Bundesrepublik Deutschland;43,695;59.8;2,327;5.3;35,962;1,254;1,243;4,490;746;0;0;41,561;95.1;5,845;4,094;1,751;1,718;29.4
517100;Leistungsbetrug;Baden-Württemberg;12;0;1;8.3;8;3;0;1;0;0;0;11;91.7;14;12;2;1;7.1
517100;Leistungsbetrug;Bayern;45;0.1;4;8.9;25;5;3;2;10;0;0;39;86.7;53;46;7;22;41.5
517100;Leistungsbetrug;Berlin;84;0.1;7;8.3;0;0;0;84;0;0;0;70;83.3;53;47;6;11;20.8
517100;Leistungsbetrug;Brandenburg;5;0;0;0;3;1;1;0;0;0;0;6;120;7;5;2;0;0
517100;Leistungsbetrug;Bremen;15;0;1;6.7;0;0;0;15;0;0;0;2;13.3;3;0;3;0;0
517100;Leistungsbetrug;Hamburg;22;0;1;4.5;0;0;0;22;0;0;0;5;22.7;9;9;0;4;44.4
517100;Leistungsbetrug;Hessen;10;0;0;0;3;2;3;2;0;0;0;10;100;16;11;5;7;43.8
517100;Leistungsbetrug;Mecklenburg-Vorpommern;4;0;0;0;3;1;0;0;0;0;0;4;100;4;4;0;0;0
517100;Leistungsbetrug;Niedersachsen;75;0.1;4;5.3;33;27;7;5;3;0;0;71;94.7;68;56;12;20;29.4
517100;Leistungsbetrug;Nordrhein-Westfalen;46;0.1;8;17.4;1;18;14;9;4;0;0;24;52.2;30;26;4;10;33.3
517100;Leistungsbetrug;Rheinland-Pfalz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517100;Leistungsbetrug;Saarland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517100;Leistungsbetrug;Sachsen;56;0.1;0;0;2;1;1;52;0;0;0;56;100;13;11;2;4;30.8
517100;Leistungsbetrug;Sachsen-Anhalt;20;0;0;0;5;2;4;0;9;0;0;13;65;7;6;1;2;28.6
517100;Leistungsbetrug;Schleswig-Holstein;33,745;46.2;0;0;33,740;3;2;0;0;0;0;33,745;100;17;9;8;1;5.9
517100;Leistungsbetrug;Thüringen;11;0;1;9.1;3;0;7;0;1;0;0;8;72.7;10;9;1;3;30
517100;Leistungsbetrug;Bundesrepublik Deutschland;34,150;46.7;27;0.1;33,826;63;42;192;27;0;0;34,064;99.7;288;235;53;83;28.8
517200;Leistungskreditbetrug §§ 263, 263a StGB;Baden-Württemberg;9;0;0;0;3;5;1;0;0;0;0;9;100;12;11;1;2;16.7
517200;Leistungskreditbetrug §§ 263, 263a StGB;Bayern;79;0.1;2;2.5;61;8;2;1;7;0;0;72;91.1;32;23;9;5;15.6
517200;Leistungskreditbetrug §§ 263, 263a StGB;Berlin;6;0;1;16.7;0;0;0;6;0;0;0;6;100;21;21;0;8;38.1
517200;Leistungskreditbetrug §§ 263, 263a StGB;Brandenburg;15;0;0;0;13;2;0;0;0;0;0;15;100;7;4;3;0;0
517200;Leistungskreditbetrug §§ 263, 263a StGB;Bremen;15;0;4;26.7;0;0;0;15;0;0;0;1;6.7;1;1;0;0;0
517200;Leistungskreditbetrug §§ 263, 263a StGB;Hamburg;2;0;0;0;0;0;0;2;0;0;0;1;50;1;1;0;0;0
517200;Leistungskreditbetrug §§ 263, 263a StGB;Hessen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517200;Leistungskreditbetrug §§ 263, 263a StGB;Mecklenburg-Vorpommern;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517200;Leistungskreditbetrug §§ 263, 263a StGB;Niedersachsen;42;0.1;1;2.4;20;11;4;6;1;0;0;41;97.6;41;31;10;5;12.2
517200;Leistungskreditbetrug §§ 263, 263a StGB;Nordrhein-Westfalen;25;0;1;4;4;9;4;6;2;0;0;10;40;12;7;5;3;25
517200;Leistungskreditbetrug §§ 263, 263a StGB;Rheinland-Pfalz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517200;Leistungskreditbetrug §§ 263, 263a StGB;Saarland;1;0;0;0;0;1;0;0;0;0;0;1;100;1;1;0;0;0
517200;Leistungskreditbetrug §§ 263, 263a StGB;Sachsen;9;0;0;0;4;2;1;2;0;0;0;10;111.1;11;10;1;1;9.1
517200;Leistungskreditbetrug §§ 263, 263a StGB;Sachsen-Anhalt;5;0;0;0;4;0;1;0;0;0;0;5;100;4;2;2;1;25
517200;Leistungskreditbetrug §§ 263, 263a StGB;Schleswig-Holstein;3;0;0;0;3;0;0;0;0;0;0;3;100;2;2;0;0;0
517200;Leistungskreditbetrug §§ 263, 263a StGB;Thüringen;6;0;0;0;3;2;1;0;0;0;0;5;83.3;6;6;0;0;0
517200;Leistungskreditbetrug §§ 263, 263a StGB;Bundesrepublik Deutschland;217;0.3;9;4.1;115;40;14;38;10;0;0;179;82.5;151;120;31;25;16.6
517210;Leistungskreditbetrug § 263 StGB;Baden-Württemberg;9;0;0;0;3;5;1;0;0;0;0;9;100;12;11;1;2;16.7
517210;Leistungskreditbetrug § 263 StGB;Bayern;70;0.1;0;0;60;7;1;1;1;0;0;69;98.6;26;18;8;3;11.5
517210;Leistungskreditbetrug § 263 StGB;Berlin;5;0;1;20;0;0;0;5;0;0;0;5;100;20;20;0;7;35
517210;Leistungskreditbetrug § 263 StGB;Brandenburg;15;0;0;0;13;2;0;0;0;0;0;15;100;7;4;3;0;0
517210;Leistungskreditbetrug § 263 StGB;Bremen;14;0;4;28.6;0;0;0;14;0;0;0;1;7.1;1;1;0;0;0
517210;Leistungskreditbetrug § 263 StGB;Hamburg;2;0;0;0;0;0;0;2;0;0;0;1;50;1;1;0;0;0
517210;Leistungskreditbetrug § 263 StGB;Hessen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517210;Leistungskreditbetrug § 263 StGB;Mecklenburg-Vorpommern;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517210;Leistungskreditbetrug § 263 StGB;Niedersachsen;41;0.1;1;2.4;20;10;4;6;1;0;0;41;100;41;31;10;5;12.2
517210;Leistungskreditbetrug § 263 StGB;Nordrhein-Westfalen;17;0;0;0;4;8;1;4;0;0;0;10;58.8;12;7;5;3;25
517210;Leistungskreditbetrug § 263 StGB;Rheinland-Pfalz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517210;Leistungskreditbetrug § 263 StGB;Saarland;1;0;0;0;0;1;0;0;0;0;0;1;100;1;1;0;0;0
517210;Leistungskreditbetrug § 263 StGB;Sachsen;9;0;0;0;4;2;1;2;0;0;0;9;100;10;9;1;1;10
517210;Leistungskreditbetrug § 263 StGB;Sachsen-Anhalt;5;0;0;0;4;0;1;0;0;0;0;5;100;4;2;2;1;25
517210;Leistungskreditbetrug § 263 StGB;Schleswig-Holstein;3;0;0;0;3;0;0;0;0;0;0;3;100;2;2;0;0;0
517210;Leistungskreditbetrug § 263 StGB;Thüringen;5;0;0;0;3;1;1;0;0;0;0;5;100;6;6;0;0;0
517210;Leistungskreditbetrug § 263 StGB;Bundesrepublik Deutschland;196;0.3;6;3.1;114;36;10;34;2;0;0;174;88.8;143;113;30;22;15.4
517220;Leistungskreditbetrug § 263a StGB;Baden-Württemberg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517220;Leistungskreditbetrug § 263a StGB;Bayern;9;0;2;22.2;1;1;1;0;6;0;0;3;33.3;6;5;1;2;33.3
517220;Leistungskreditbetrug § 263a StGB;Berlin;1;0;0;0;0;0;0;1;0;0;0;1;100;1;1;0;1;100
517220;Leistungskreditbetrug § 263a StGB;Brandenburg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517220;Leistungskreditbetrug § 263a StGB;Bremen;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
517220;Leistungskreditbetrug § 263a StGB;Hamburg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517220;Leistungskreditbetrug § 263a StGB;Hessen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517220;Leistungskreditbetrug § 263a StGB;Mecklenburg-Vorpommern;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517220;Leistungskreditbetrug § 263a StGB;Niedersachsen;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
517220;Leistungskreditbetrug § 263a StGB;Nordrhein-Westfalen;8;0;1;12.5;0;1;3;2;2;0;0;0;0;0;0;0;0;0
517220;Leistungskreditbetrug § 263a StGB;Rheinland-Pfalz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517220;Leistungskreditbetrug § 263a StGB;Saarland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517220;Leistungskreditbetrug § 263a StGB;Sachsen;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0
517220;Leistungskreditbetrug § 263a StGB;Sachsen-Anhalt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517220;Leistungskreditbetrug § 263a StGB;Schleswig-Holstein;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517220;Leistungskreditbetrug § 263a StGB;Thüringen;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
517220;Leistungskreditbetrug § 263a StGB;Bundesrepublik Deutschland;21;0;3;14.3;1;4;4;4;8;0;0;5;23.8;8;7;1;3;37.5
517400;Betrug z.N.v. Versicherungen und Versicherungsmissbrauch §§ 263, 265 StGB;Baden-Württemberg;4;0;0;0;1;1;2;0;0;0;0;4;100;4;4;0;0;0
517400;Betrug z.N.v. Versicherungen und Versicherungsmissbrauch §§ 263, 265 StGB;Bayern;3;0;1;33.3;1;1;1;0;0;0;0;2;66.7;5;4;1;3;60
517400;Betrug z.N.v. Versicherungen und Versicherungsmissbrauch §§ 263, 265 StGB;Berlin;1;0;0;0;0;0;0;1;0;0;0;1;100;3;3;0;0;0
517400;Betrug z.N.v. Versicherungen und Versicherungsmissbrauch §§ 263, 265 StGB;Brandenburg;1;0;0;0;0;1;0;0;0;0;0;1;100;1;1;0;1;100
517400;Betrug z.N.v. Versicherungen und Versicherungsmissbrauch §§ 263, 265 StGB;Bremen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517400;Betrug z.N.v. Versicherungen und Versicherungsmissbrauch §§ 263, 265 StGB;Hamburg;2;0;1;50;0;0;0;2;0;0;0;2;100;4;4;0;0;0
517400;Betrug z.N.v. Versicherungen und Versicherungsmissbrauch §§ 263, 265 StGB;Hessen;1;0;0;0;1;0;0;0;0;0;0;1;100;1;1;0;0;0
517400;Betrug z.N.v. Versicherungen und Versicherungsmissbrauch §§ 263, 265 StGB;Mecklenburg-Vorpommern;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517400;Betrug z.N.v. Versicherungen und Versicherungsmissbrauch §§ 263, 265 StGB;Niedersachsen;5;0;3;60;2;3;0;0;0;0;0;5;100;5;4;1;1;20
517400;Betrug z.N.v. Versicherungen und Versicherungsmissbrauch §§ 263, 265 StGB;Nordrhein-Westfalen;4;0;0;0;0;0;1;3;0;0;0;4;100;13;11;2;7;53.8
517400;Betrug z.N.v. Versicherungen und Versicherungsmissbrauch §§ 263, 265 StGB;Rheinland-Pfalz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517400;Betrug z.N.v. Versicherungen und Versicherungsmissbrauch §§ 263, 265 StGB;Saarland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517400;Betrug z.N.v. Versicherungen und Versicherungsmissbrauch §§ 263, 265 StGB;Sachsen;56;0.1;2;3.6;14;15;12;15;0;0;0;56;100;74;55;19;6;8.1
517400;Betrug z.N.v. Versicherungen und Versicherungsmissbrauch §§ 263, 265 StGB;Sachsen-Anhalt;5;0;0;0;2;3;0;0;0;0;0;5;100;4;2;2;0;0
517400;Betrug z.N.v. Versicherungen und Versicherungsmissbrauch §§ 263, 265 StGB;Schleswig-Holstein;1;0;1;100;1;0;0;0;0;0;0;1;100;1;1;0;0;0
517400;Betrug z.N.v. Versicherungen und Versicherungsmissbrauch §§ 263, 265 StGB;Thüringen;2;0;0;0;1;1;0;0;0;0;0;2;100;3;2;1;0;0
517400;Betrug z.N.v. Versicherungen und Versicherungsmissbrauch §§ 263, 265 StGB;Bundesrepublik Deutschland;85;0.1;8;9.4;23;25;16;21;0;0;0;84;98.8;117;91;26;18;15.4
517410;Betrug zum Nachteil von Versicherungen;Baden-Württemberg;4;0;0;0;1;1;2;0;0;0;0;4;100;4;4;0;0;0
517410;Betrug zum Nachteil von Versicherungen;Bayern;3;0;1;33.3;1;1;1;0;0;0;0;2;66.7;5;4;1;3;60
517410;Betrug zum Nachteil von Versicherungen;Berlin;1;0;0;0;0;0;0;1;0;0;0;1;100;3;3;0;0;0
517410;Betrug zum Nachteil von Versicherungen;Brandenburg;1;0;0;0;0;1;0;0;0;0;0;1;100;1;1;0;1;100
517410;Betrug zum Nachteil von Versicherungen;Bremen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517410;Betrug zum Nachteil von Versicherungen;Hamburg;2;0;1;50;0;0;0;2;0;0;0;2;100;4;4;0;0;0
517410;Betrug zum Nachteil von Versicherungen;Hessen;1;0;0;0;1;0;0;0;0;0;0;1;100;1;1;0;0;0
517410;Betrug zum Nachteil von Versicherungen;Mecklenburg-Vorpommern;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517410;Betrug zum Nachteil von Versicherungen;Niedersachsen;5;0;3;60;2;3;0;0;0;0;0;5;100;5;4;1;1;20
517410;Betrug zum Nachteil von Versicherungen;Nordrhein-Westfalen;4;0;0;0;0;0;1;3;0;0;0;4;100;13;11;2;7;53.8
517410;Betrug zum Nachteil von Versicherungen;Rheinland-Pfalz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517410;Betrug zum Nachteil von Versicherungen;Saarland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517410;Betrug zum Nachteil von Versicherungen;Sachsen;56;0.1;2;3.6;14;15;12;15;0;0;0;56;100;74;55;19;6;8.1
517410;Betrug zum Nachteil von Versicherungen;Sachsen-Anhalt;5;0;0;0;2;3;0;0;0;0;0;5;100;4;2;2;0;0
517410;Betrug zum Nachteil von Versicherungen;Schleswig-Holstein;1;0;1;100;1;0;0;0;0;0;0;1;100;1;1;0;0;0
517410;Betrug zum Nachteil von Versicherungen;Thüringen;1;0;0;0;1;0;0;0;0;0;0;1;100;2;2;0;0;0
517410;Betrug zum Nachteil von Versicherungen;Bundesrepublik Deutschland;84;0.1;8;9.5;23;24;16;21;0;0;0;83;98.8;116;91;25;18;15.5
517420;Versicherungsmissbrauch;Baden-Württemberg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517420;Versicherungsmissbrauch;Bayern;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517420;Versicherungsmissbrauch;Berlin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517420;Versicherungsmissbrauch;Brandenburg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517420;Versicherungsmissbrauch;Bremen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517420;Versicherungsmissbrauch;Hamburg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517420;Versicherungsmissbrauch;Hessen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517420;Versicherungsmissbrauch;Mecklenburg-Vorpommern;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517420;Versicherungsmissbrauch;Niedersachsen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517420;Versicherungsmissbrauch;Nordrhein-Westfalen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517420;Versicherungsmissbrauch;Rheinland-Pfalz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517420;Versicherungsmissbrauch;Saarland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517420;Versicherungsmissbrauch;Sachsen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517420;Versicherungsmissbrauch;Sachsen-Anhalt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517420;Versicherungsmissbrauch;Schleswig-Holstein;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517420;Versicherungsmissbrauch;Thüringen;1;0;0;0;0;1;0;0;0;0;0;1;100;1;0;1;0;0
517420;Versicherungsmissbrauch;Bundesrepublik Deutschland;1;0;0;0;0;1;0;0;0;0;0;1;100;1;0;1;0;0
517500;Computerbetrug (sonstiger) § 263a StGB (soweit nicht unter den Schlüsseln 511120, 511212, 516300, 516520, 516920, 517220, 517900, 518112 bzw. 518302 zu erfassen);Baden-Württemberg;3;0;1;33.3;0;2;0;1;0;0;0;2;66.7;2;2;0;2;100
517500;Computerbetrug (sonstiger) § 263a StGB (soweit nicht unter den Schlüsseln 511120, 511212, 516300, 516520, 516920, 517220, 517900, 518112 bzw. 518302 zu erfassen);Bayern;52;0.1;11;21.2;12;4;1;12;23;0;0;19;36.5;19;13;6;8;42.1
517500;Computerbetrug (sonstiger) § 263a StGB (soweit nicht unter den Schlüsseln 511120, 511212, 516300, 516520, 516920, 517220, 517900, 518112 bzw. 518302 zu erfassen);Berlin;385;0.5;131;34;0;0;0;385;0;0;0;97;25.2;95;67;28;39;41.1
517500;Computerbetrug (sonstiger) § 263a StGB (soweit nicht unter den Schlüsseln 511120, 511212, 516300, 516520, 516920, 517220, 517900, 518112 bzw. 518302 zu erfassen);Brandenburg;6;0;0;0;3;0;3;0;0;0;0;5;83.3;7;5;2;5;71.4
517500;Computerbetrug (sonstiger) § 263a StGB (soweit nicht unter den Schlüsseln 511120, 511212, 516300, 516520, 516920, 517220, 517900, 518112 bzw. 518302 zu erfassen);Bremen;10;0;2;20;0;0;1;9;0;0;0;1;10;1;1;0;0;0
517500;Computerbetrug (sonstiger) § 263a StGB (soweit nicht unter den Schlüsseln 511120, 511212, 516300, 516520, 516920, 517220, 517900, 518112 bzw. 518302 zu erfassen);Hamburg;9;0;6;66.7;0;0;0;5;4;0;0;1;11.1;1;1;0;0;0
517500;Computerbetrug (sonstiger) § 263a StGB (soweit nicht unter den Schlüsseln 511120, 511212, 516300, 516520, 516920, 517220, 517900, 518112 bzw. 518302 zu erfassen);Hessen;2;0;1;50;0;1;1;0;0;0;0;0;0;0;0;0;0;0
517500;Computerbetrug (sonstiger) § 263a StGB (soweit nicht unter den Schlüsseln 511120, 511212, 516300, 516520, 516920, 517220, 517900, 518112 bzw. 518302 zu erfassen);Mecklenburg-Vorpommern;1;0;0;0;0;1;0;0;0;0;0;1;100;1;0;1;0;0
517500;Computerbetrug (sonstiger) § 263a StGB (soweit nicht unter den Schlüsseln 511120, 511212, 516300, 516520, 516920, 517220, 517900, 518112 bzw. 518302 zu erfassen);Niedersachsen;28;0;3;10.7;6;8;8;1;5;0;0;6;21.4;7;5;2;2;28.6
517500;Computerbetrug (sonstiger) § 263a StGB (soweit nicht unter den Schlüsseln 511120, 511212, 516300, 516520, 516920, 517220, 517900, 518112 bzw. 518302 zu erfassen);Nordrhein-Westfalen;45;0.1;7;15.6;0;16;17;2;10;0;0;17;37.8;29;23;6;13;44.8
517500;Computerbetrug (sonstiger) § 263a StGB (soweit nicht unter den Schlüsseln 511120, 511212, 516300, 516520, 516920, 517220, 517900, 518112 bzw. 518302 zu erfassen);Rheinland-Pfalz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517500;Computerbetrug (sonstiger) § 263a StGB (soweit nicht unter den Schlüsseln 511120, 511212, 516300, 516520, 516920, 517220, 517900, 518112 bzw. 518302 zu erfassen);Saarland;4;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0
517500;Computerbetrug (sonstiger) § 263a StGB (soweit nicht unter den Schlüsseln 511120, 511212, 516300, 516520, 516920, 517220, 517900, 518112 bzw. 518302 zu erfassen);Sachsen;4;0;1;25;1;2;1;0;0;0;0;1;25;1;1;0;1;100
517500;Computerbetrug (sonstiger) § 263a StGB (soweit nicht unter den Schlüsseln 511120, 511212, 516300, 516520, 516920, 517220, 517900, 518112 bzw. 518302 zu erfassen);Sachsen-Anhalt;8;0;2;25;1;1;0;0;6;0;0;4;50;4;2;2;1;25
517500;Computerbetrug (sonstiger) § 263a StGB (soweit nicht unter den Schlüsseln 511120, 511212, 516300, 516520, 516920, 517220, 517900, 518112 bzw. 518302 zu erfassen);Schleswig-Holstein;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517500;Computerbetrug (sonstiger) § 263a StGB (soweit nicht unter den Schlüsseln 511120, 511212, 516300, 516520, 516920, 517220, 517900, 518112 bzw. 518302 zu erfassen);Thüringen;1;0;0;0;1;0;0;0;0;0;0;1;100;1;1;0;0;0
517500;Computerbetrug (sonstiger) § 263a StGB (soweit nicht unter den Schlüsseln 511120, 511212, 516300, 516520, 516920, 517220, 517900, 518112 bzw. 518302 zu erfassen);Bundesrepublik Deutschland;558;0.8;165;29.6;27;35;33;415;48;0;0;155;27.8;166;119;47;70;42.2
517510;Computerbetrug (sonstiger) § 263a Abs. 1 und 2 StGB;Baden-Württemberg;3;0;1;33.3;0;2;0;1;0;0;0;2;66.7;2;2;0;2;100
517510;Computerbetrug (sonstiger) § 263a Abs. 1 und 2 StGB;Bayern;52;0.1;11;21.2;12;4;1;12;23;0;0;19;36.5;19;13;6;8;42.1
517510;Computerbetrug (sonstiger) § 263a Abs. 1 und 2 StGB;Berlin;384;0.5;131;34.1;0;0;0;384;0;0;0;97;25.3;95;67;28;39;41.1
517510;Computerbetrug (sonstiger) § 263a Abs. 1 und 2 StGB;Brandenburg;6;0;0;0;3;0;3;0;0;0;0;5;83.3;7;5;2;5;71.4
517510;Computerbetrug (sonstiger) § 263a Abs. 1 und 2 StGB;Bremen;9;0;1;11.1;0;0;1;8;0;0;0;1;11.1;1;1;0;0;0
517510;Computerbetrug (sonstiger) § 263a Abs. 1 und 2 StGB;Hamburg;9;0;6;66.7;0;0;0;5;4;0;0;1;11.1;1;1;0;0;0
517510;Computerbetrug (sonstiger) § 263a Abs. 1 und 2 StGB;Hessen;2;0;1;50;0;1;1;0;0;0;0;0;0;0;0;0;0;0
517510;Computerbetrug (sonstiger) § 263a Abs. 1 und 2 StGB;Mecklenburg-Vorpommern;1;0;0;0;0;1;0;0;0;0;0;1;100;1;0;1;0;0
517510;Computerbetrug (sonstiger) § 263a Abs. 1 und 2 StGB;Niedersachsen;28;0;3;10.7;6;8;8;1;5;0;0;6;21.4;7;5;2;2;28.6
517510;Computerbetrug (sonstiger) § 263a Abs. 1 und 2 StGB;Nordrhein-Westfalen;44;0.1;6;13.6;0;15;17;2;10;0;0;17;38.6;29;23;6;13;44.8
517510;Computerbetrug (sonstiger) § 263a Abs. 1 und 2 StGB;Rheinland-Pfalz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517510;Computerbetrug (sonstiger) § 263a Abs. 1 und 2 StGB;Saarland;4;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0
517510;Computerbetrug (sonstiger) § 263a Abs. 1 und 2 StGB;Sachsen;4;0;1;25;1;2;1;0;0;0;0;1;25;1;1;0;1;100
517510;Computerbetrug (sonstiger) § 263a Abs. 1 und 2 StGB;Sachsen-Anhalt;8;0;2;25;1;1;0;0;6;0;0;4;50;4;2;2;1;25
517510;Computerbetrug (sonstiger) § 263a Abs. 1 und 2 StGB;Schleswig-Holstein;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517510;Computerbetrug (sonstiger) § 263a Abs. 1 und 2 StGB;Thüringen;1;0;0;0;1;0;0;0;0;0;0;1;100;1;1;0;0;0
517510;Computerbetrug (sonstiger) § 263a Abs. 1 und 2 StGB;Bundesrepublik Deutschland;555;0.8;163;29.4;27;34;33;413;48;0;0;155;27.9;166;119;47;70;42.2
517520;Vorbereitung des Computerbetruges § 263a Abs. 3 StGB;Baden-Württemberg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517520;Vorbereitung des Computerbetruges § 263a Abs. 3 StGB;Bayern;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
