1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
131400;"Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt § 176a Abs. 1 Nr. 3; 176b Abs. 1 Nr. 1 und 2 StGB";Bayern;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131400;"Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt § 176a Abs. 1 Nr. 3; 176b Abs. 1 Nr. 1 und 2 StGB";Berlin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131400;"Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt § 176a Abs. 1 Nr. 3; 176b Abs. 1 Nr. 1 und 2 StGB";Brandenburg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131400;"Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt § 176a Abs. 1 Nr. 3; 176b Abs. 1 Nr. 1 und 2 StGB";Bremen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131400;"Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt § 176a Abs. 1 Nr. 3; 176b Abs. 1 Nr. 1 und 2 StGB";Hamburg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131400;"Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt § 176a Abs. 1 Nr. 3; 176b Abs. 1 Nr. 1 und 2 StGB";Hessen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131400;"Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt § 176a Abs. 1 Nr. 3; 176b Abs. 1 Nr. 1 und 2 StGB";Mecklenburg-Vorpommern;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131400;"Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt § 176a Abs. 1 Nr. 3; 176b Abs. 1 Nr. 1 und 2 StGB";Niedersachsen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131400;"Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt § 176a Abs. 1 Nr. 3; 176b Abs. 1 Nr. 1 und 2 StGB";Nordrhein-Westfalen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131400;"Sexueller Missbrauch von Kindern - Einwirken auf Kinder ohne Körperkontakt § 176a Abs. 1 Nr. 3; 176b Abs. 1 Nr. 1 und 2 StGB";Rheinland-Pfalz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
